name: Ruined Villages in the Tosasth Valley
description: Generates the remains of a ruined village
recipe:
    The {origin} village was last inhabited {years} ago. The structures {constructed}.
    {features}
    Of the {2d6} structures, the following are interesting.<br><br>
    {buildings}
repeat: 1

table: origin 1d20
1-8     elven
9-12    dwarven
13-15   human
16      orc
17      gnoll
18      halfling
19      goblin
20      troll

table: years 1d4
1   {1d4+5}0 years
2   {1d6}{1d90+9} years
3   {1d6+1} centuries
4   at least {1d10},000 years

table: constructed 1d6
1   were made of mortared stone
2   had walls of mud and straw
3   were built of hewn lumber covered in bright paint
4   had walls of stacked logs
5   were little more than holes with thatch roofs
6   are made of a hard metal

table: features 1d6
1   Most walls have collapsed.
2   A central sqaure contains a water well.
3   Fire burned through the village.
4   A plague left the residents dead in their beds. {1d6}% of disease exposure.
5   Trees have grown up through roofs.
6   {features} {features}

table: buildings 1d100
1-50    {building} {building}
51-70   {building} {building} {building}
71-80   {building} {building} {building} {building}
81-87   {building} {building} {building} {building} {building}
88-96   {building} {building} {building} {building} {building} {building}
97-100  {building} {building} {building} {building} {building} {building} {building}

table: building 1d1
1   {building-type} {maybe-smell} {maybe-junk} {maybe-treasure}<br>

table: building-type 1d100
1-83    Residence.
84      Bake house.
85      Barn.
86      Blacksmith.
87      Carpenter.
88      Church.
89      Fishery.
90      Furrier.
91      Granary.
92      Hall.
93      Market.
94      Mason.
95      Mill.
96      Stables.
97      Tailor.
98      Tavern.
99      Warehouse.
100     Woodcutter.

table: maybe-smell 1d6
1       It smells {smell}.
2-6     .

table: smell
1-3     acrid
4-5     like chlorine
6-39    dank, mouldy
40-49   earthy
50-57   of manure
58-61   metallic
62-65   like ozone
66-70   putrid
71-75   of rotting vegetation
76-77   salty, wet
78-82   smoky
83-89   stale, fetid
90-95   sulphurous
96-100  of urine

table: maybe-junk 1d100
1-10    A search turns up a {junk}.
11-16   A search turns up a {junk} and a {junk}.
17-100  .

table: junk
1   alembic
2   altar
3   anklet
4   apron
5   arm band
6   armchair
7   armoire
8   arras
9   broken arrow
10  ash
11  ashes
12  awl
13  bag
14  balance & weights
15  bandages
16  bark
17  barrel
18  basin
19  basket
20  bastinadoes
21  beaker
22  beater
23  bed
24  bellows
25  bells
26  belt
27  bench
28  bladder
29  blanket
30  blouse
31  bone
32  bones
33  book
34  boots
35  bottle
36  broken bottle
37  bowl
38  bracelet
39  branding irons
40  brazier
41  brazier & charcoal
42  brooch
43  brush
44  bucket
45  buckle
46  buffet
47  bunks
48  buskins
49  large barrel
50  cabinet
51  cage
52  caldron
53  candelabra
54  candelabrum
55  candle
56  candles
57  candle snuffer
58  candlestick
59  candlesticks
60  cane
61  cap
62  cape
63  carafe
64  carpet
65  case
66  cask
67  cassocks
68  chain
69  corroded
70  chains
71  chair
72  padded chair
73  padded arm chair
74  chair with straps
75  chalice
76  chalk
77  chandelier
78  charcoal
79  large chest
80  medium chest
81  chest of drawers
82  chimes
83  choker
84  chopper
85  chunks
86  cinders
87  clamps
88  clasp
89  cloak
90  wardrobe
91  altar cloth
92  splintered club
93  coal
94  coat
95  cobwebs
96  coffer
97  coif
98  bent copper coin
99  collar
100 cologne
101 columns/pillars
102 comb
103 coronet
104 couch
105 ceiling cracks
106 floor cracks
107 wall cracks
